amfi_code,Annual Return,Annual Volatility,Sharpe Ratio,Rank,Downside Volatility,Sortino Ratio,Sortino Rank
148567,0.27056620166916845,0.14193706754620344,1.4482911703262604,1,0.08616799887021052,2.3856443733688186,1
120843,0.2726022383393478,0.15886986523609253,1.3067439695428413,2,0.087806318736426,2.364320032166718,2
148569,0.28326161538880446,0.176740066913467,1.2349300257743292,3,0.10166295570138459,2.1469139263460533,3
119551,0.2310331546138718,0.1374143414187964,1.2082665673727178,4,0.07757590272698997,2.140267129061794,4
120505,0.2926527249840709,0.1929094940631819,1.1801011976606495,5,0.11217995669684916,2.029352940465746,5
149323,0.26590814851467,0.17746159397550829,1.1321218524747252,6,0.10714523733176572,1.8751010639192085,6
118632,0.21803695132499992,0.1414835229499666,1.0816591793457038,8,0.08271674998912053,1.8501325468557261,7
100033,0.27211056847152365,0.18936710835214166,1.093698743534631,7,0.11322875898057067,1.8291339615146935,8
120504,0.21244769573283434,0.1436378056673665,1.0265242847993006,10,0.08167518008136893,1.8052937940992542,9
101206,0.2146466240023027,0.1456821284745432,1.0272133278753697,9,0.08315720784547673,1.799562874698451,10
119094,0.25872785977673984,0.19407117423334738,0.9982309868636403,11,0.11370357218085257,1.7037974802462994,11
119598,0.30265596572351255,0.2514057862438468,0.9453082575156093,14,0.14185734802451816,1.6753165700125514,12
148568,0.20791821293359272,0.15429144469823303,0.9262873467360141,15,0.08753269187849354,1.632740977873516,13
149324,0.300931229977172,0.24840205005242075,0.949795824661604,13,0.14565515733818327,1.61979317649141,14
119552,0.197881133444817,0.13939367612717493,0.953279496866011,12,0.08254632509603786,1.6097764896283089,15
102885,0.16988800557692826,0.12836628397860558,0.817099337349437,16,0.07305491141338039,1.4357420130649488,16
120503,0.1757940429247065,0.13884437513119793,0.7979728586052844,17,0.08280923066063352,1.3379431500669237,17
125497,0.17879963802436752,0.14668866752399518,0.7757902498211205,18,0.08552176122236872,1.3306512447571361,18
118633,0.15531106361835714,0.1399721364918615,0.6452074382933218,21,0.07822690620034216,1.1544757169236246,19
118635,0.15131944040863557,0.12983158874316303,0.6648569985490621,19,0.075853432661716,1.1379767187807424,20
120506,0.16382758819055004,0.15230516379673079,0.6488787755249528,20,0.09017978330852094,1.0958951614736467,21
102887,0.1626258549662886,0.15758366917913,0.6195175900829826,22,0.08966740219556735,1.088755250803002,22
120507,0.0674484404275901,0.004939126259512018,0.495723392953312,23,0.002327140813806639,1.052123882260929,23
120841,0.1315478451977995,0.1346379580078445,0.4942725378672348,24,0.07715031298268793,0.8625738849916582,24
149322,0.13160728496649923,0.14353859818510514,0.46403744922047735,25,0.08739635454822768,0.7621288703723166,25
118634,0.1781915642892773,0.2524152094634045,0.4484340089089915,26,0.15172834366505497,0.7460146308533572,26
125498,0.12016959264353062,0.18352430087335772,0.3006119210425479,27,0.1084280711995899,0.5088128197169229,27
101207,0.1069621227736075,0.25797322217077717,0.16266076928646786,28,0.15168286200797332,0.2766437962609232,28
119093,0.08312437838149542,0.1398329559363886,0.12961449795669325,29,0.08197854923650982,0.22108683979276342,29
120842,0.07859995621336482,0.1789471500657187,0.07599984804658923,30,0.10906710855119692,0.12469346986475671,30
119092,0.06929469030104402,0.13950661341123846,0.030784850954585916,31,0.08168850530540543,0.05257398559304803,31
119599,0.0507318653023297,0.24950125122855862,-0.05718662582817995,32,0.15116589359593172,-0.09438726129459601,32
119095,0.04595602382589967,0.25066580232600433,-0.07597357117478923,33,0.14856565206962133,-0.1281855927585192,33
120844,0.06454444499823224,0.005133170487371137,-0.08874729621557288,34,0.002426739855581489,-0.1877230477424223,34
102886,0.027673310029606265,0.181345762973113,-0.2058316078547031,36,0.10750084224590345,-0.3472223025472728,35
100016,0.03568302536201135,0.14548134802183876,-0.20151706755966936,35,0.08351285215186827,-0.35104746015230903,36
119120,0.056011613099590955,0.03967062369033872,-0.22657538662791568,37,0.02385661882671402,-0.3767670081706669,37
118636,0.050786394904641624,0.039855381553882616,-0.35662950751436784,38,0.023167111549037504,-0.6135251287271025,38
100025,0.04285355596222693,0.039052455281001604,-0.5670947928476846,39,0.023514487863530113,-0.9418212366054199,39
101208,0.06086966398608307,0.0050643713523107455,-0.8155673679088258,40,0.002457015451947604,-1.6810378667512813,40
